order_id,product_id,customer_id,quantity,order_date,total_amount
307,72,7,4,2023-9-9,748
308,35,47,5,2023-5-15,1095
309,49,33,4,2023-9-10,343
310,68,44,4,2023-2-5,1267
311,51,30,4,2023-12-25,1583
312,24,47,2,2023-4-1,1164
313,20,21,4,2023-11-6,2419
314,19,27,4,2023-4-27,2129
315,16,27,3,2023-3-26,1061
316,65,47,2,2023-11-22,1085
317,29,25,2,2023-4-10,1980
318,16,49,2,2023-2-28,1349
319,89,14,2,2023-3-18,89
320,83,48,5,2023-2-9,1238
321,81,17,5,2023-2-16,431
322,33,30,4,2023-12-7,2431
323,68,43,4,2023-3-10,988
324,59,37,4,2023-10-1,1181
325,4,43,3,2023-8-3,889
326,2,19,5,2023-3-6,1527
327,64,17,2,2023-2-5,1972
328,25,4,1,2023-7-8,2179
329,73,45,2,2023-4-10,1526
330,61,1,4,2023-7-5,595
331,92,17,4,2023-6-22,1575
332,12,17,3,2023-2-4,1636
333,5,20,2,2023-4-8,1645
334,39,18,1,2023-2-12,2466
335,91,34,4,2023-3-11,1873
336,65,3,5,2023-10-21,1592
337,44,13,5,2023-8-4,1554
338,87,29,4,2023-9-3,1435
339,45,39,2,2023-5-22,1104
340,69,42,3,2023-12-6,2272
341,93,13,5,2023-8-5,1122
342,61,33,5,2023-1-10,341
343,61,45,1,2023-12-10,1585
344,34,17,3,2023-3-9,1026
345,44,48,3,2023-7-7,964
346,76,45,5,2023-9-18,363
347,95,44,5,2023-12-7,1146
348,26,34,1,2023-5-16,885
349,24,47,2,2023-4-3,2093
350,20,39,1,2023-11-8,815
351,75,39,3,2023-6-27,640
352,36,35,3,2023-4-19,222
353,29,42,2,2023-8-26,669
354,22,25,1,2023-2-24,643
355,9,28,4,2023-12-8,146
356,10,30,1,2023-10-4,59
357,97,29,3,2023-1-22,2360
358,72,27,4,2023-1-22,77
359,68,42,3,2023-11-1,2178
360,29,21,5,2023-3-14,606
361,87,50,5,2023-9-24,2172
362,9,29,3,2023-1-25,538
363,49,48,2,2023-6-3,195
364,80,21,3,2023-9-3,1849
365,76,30,3,2023-7-26,1545
366,82,49,1,2023-4-28,1586
367,96,48,3,2023-3-23,2172
368,4,42,3,2023-3-9,2065
369,53,30,3,2023-8-13,789
370,81,28,2,2023-10-21,2345
371,64,5,3,2023-2-22,2306
372,53,50,5,2023-11-10,1463
373,75,37,2,2023-10-28,2099
374,96,1,2,2023-5-10,1517
375,50,50,3,2023-3-6,1882
376,20,42,5,2023-2-28,2066
377,90,31,1,2023-9-23,831
378,62,37,4,2023-3-11,399
379,88,23,1,2023-9-17,2395
380,52,37,1,2023-3-20,1360
381,7,45,1,2023-10-7,744
382,34,46,4,2023-6-10,707
383,29,12,4,2023-2-18,465
384,3,23,5,2023-11-25,581
385,90,2,3,2023-11-12,1064
386,33,34,5,2023-9-26,1712
387,13,16,2,2023-12-3,810
388,86,21,2,2023-10-24,1153
389,10,3,1,2023-3-11,2477
390,3,50,3,2023-2-10,1351
391,33,27,2,2023-12-10,25
392,1,31,3,2023-6-6,1551
393,12,6,1,2023-6-3,1761
394,69,8,5,2023-12-7,381
395,34,36,5,2023-7-17,1652
396,16,4,5,2023-4-9,1181
397,47,39,4,2023-10-6,1280
398,52,11,4,2023-8-11,1156
399,5,5,2,2023-9-28,576
400,59,20,4,2023-5-8,1748
401,91,9,5,2023-10-16,2124
402,66,25,2,2023-3-10,2445
403,60,34,2,2023-8-1,1664
404,2,35,3,2023-9-11,472
405,41,25,3,2023-7-8,2021
406,33,39,1,2023-7-1,2238
407,2,41,3,2023-8-14,1351
408,83,25,4,2023-5-10,2310
409,21,22,2,2023-5-19,1917
410,65,43,2,2023-4-8,1737
411,100,15,1,2023-8-4,283
412,47,3,4,2023-3-17,2433
413,75,7,5,2023-7-14,1476
414,6,37,2,2023-9-27,1901
415,51,43,4,2023-9-9,2208
416,60,42,3,2023-1-8,2343
417,96,28,4,2023-7-21,1961
418,85,13,4,2023-12-26,395
419,51,23,5,2023-6-14,1131
420,77,46,3,2023-1-13,731
421,28,42,4,2023-11-22,1121
422,64,29,3,2023-8-14,801
423,82,29,5,2023-12-28,2079
424,1,49,1,2023-4-18,353
425,3,50,1,2023-11-11,964
426,5,30,4,2023-4-20,2387
427,50,38,4,2023-11-17,1733
428,27,20,3,2023-10-10,2051
429,97,5,3,2023-9-1,1681
430,43,28,1,2023-8-21,2130
431,53,49,3,2023-4-23,453
432,49,7,3,2023-11-25,513
433,25,31,1,2023-3-3,2201
434,29,44,2,2023-4-22,1311
435,20,17,3,2023-10-1,1281
436,85,34,3,2023-3-19,926
437,48,18,4,2023-10-12,1568
438,64,49,2,2023-12-27,935
439,5,27,2,2023-7-21,97
440,4,14,5,2023-2-21,2054
441,50,37,3,2023-12-22,764
442,83,2,5,2023-10-5,813
443,26,33,3,2023-3-12,1004
444,34,26,4,2023-10-10,287
445,51,22,5,2023-7-9,2396
446,51,19,1,2023-11-17,111
447,4,6,5,2023-4-17,2343
448,51,4,1,2023-11-18,215
449,89,17,1,2023-3-27,1437
450,25,50,1,2023-6-8,281
451,10,17,2,2023-3-12,1214
452,24,3,1,2023-4-1,1530
453,47,18,3,2023-3-21,1763
454,74,31,5,2023-11-13,1564
455,56,42,3,2023-2-21,2190
456,66,37,5,2023-11-26,1972
457,85,35,3,2023-8-26,766
458,94,39,5,2023-4-17,2384
459,8,18,1,2023-10-22,1411
460,77,33,5,2023-2-12,2019
461,94,10,5,2023-4-23,261
462,8,30,4,2023-6-6,2120
463,49,29,3,2023-9-13,1106
464,28,39,3,2023-3-10,893
465,50,6,3,2023-5-18,1239
466,74,43,3,2023-3-20,1116
467,10,21,4,2023-4-4,1204
468,38,7,3,2023-6-25,1488
469,96,5,2,2023-9-27,981
470,76,14,2,2023-7-21,1137
471,5,26,1,2023-9-10,798
472,34,17,2,2023-2-1,1999
473,12,26,1,2023-10-28,929
474,49,26,5,2023-12-25,720
475,16,19,1,2023-5-6,603
476,6,4,5,2023-4-7,1085
477,17,34,3,2023-11-6,936
478,56,41,1,2023-12-3,2012
479,47,45,1,2023-10-17,993
480,81,19,5,2023-5-3,1231
481,65,40,1,2023-11-9,467
482,89,8,3,2023-9-1,107
483,40,36,2,2023-5-22,2042
484,85,50,2,2023-2-9,1366
485,26,21,3,2023-3-4,1824
486,54,16,5,2023-10-8,796
487,76,18,3,2023-7-3,2281
488,5,36,3,2023-10-4,1287
489,4,38,3,2023-5-7,57
490,94,9,1,2023-7-11,1768
491,7,4,5,2023-8-8,1037
492,52,34,5,2023-11-10,636
493,84,41,1,2023-2-19,480
494,95,37,3,2023-12-15,1441
495,70,29,5,2023-1-4,858
496,76,5,2,2023-12-12,2372
497,8,38,1,2023-8-26,1809
498,72,25,4,2023-12-24,369
499,93,41,1,2023-7-28,1163
500,66,48,3,2023-4-12,1435
501,82,38,3,2023-5-22,1800
502,27,11,1,2023-5-16,269
503,14,3,4,2023-9-26,692
504,92,23,2,2023-8-3,2496
505,44,23,1,2023-6-10,1074
506,37,9,1,2023-11-8,1554
507,59,10,1,2023-4-28,455
508,18,26,4,2023-10-19,785
509,87,8,3,2023-12-14,1877
510,67,40,3,2023-2-21,2474
511,46,40,3,2023-4-12,1309
512,21,35,4,2023-7-18,1074
513,17,9,3,2023-9-5,1707
514,62,42,4,2023-2-13,1300
515,18,22,1,2023-8-2,1062
516,68,35,5,2023-9-23,1468
517,56,13,1,2023-2-25,2266
518,34,44,3,2023-11-23,725
519,13,25,5,2023-12-23,413
520,86,30,1,2023-1-26,1136
521,6,9,1,2023-6-23,2318
522,12,13,4,2023-8-24,502
523,84,15,1,2023-8-12,1384
524,97,26,5,2023-8-12,1260
525,95,42,4,2023-9-27,1936
526,90,8,1,2023-11-26,1984
527,49,6,2,2023-2-27,1399
528,34,5,5,2023-3-9,461
529,71,36,1,2023-10-25,1664
530,3,30,5,2023-4-9,739
531,29,1,2,2023-9-16,1209
532,73,13,5,2023-1-18,944
533,93,25,1,2023-12-20,2191
534,86,13,4,2023-6-20,2446
535,53,2,2,2023-2-25,2076
536,8,31,1,2023-1-14,1574
537,20,17,2,2023-11-21,1206
538,34,36,4,2023-2-5,263
539,31,26,5,2023-8-23,1472
540,51,46,3,2023-2-17,1355
541,22,27,4,2023-11-3,302
542,97,38,4,2023-12-19,1409
543,74,48,4,2023-4-19,2500
544,46,19,4,2023-2-26,435
545,64,50,1,2023-4-17,188
546,61,39,3,2023-8-4,1585
547,3,33,3,2023-2-19,930
548,7,36,5,2023-9-13,678
549,4,48,1,2023-7-13,2444
550,44,43,3,2023-5-6,971
551,7,34,1,2023-10-11,1360
552,99,21,5,2023-10-24,2354
553,28,4,4,2023-6-21,1121
554,17,26,5,2023-1-26,1878
555,66,15,2,2023-11-20,776
556,5,10,5,2023-5-19,1906
557,14,36,4,2023-4-17,628
558,19,20,5,2023-4-24,990
559,46,2,1,2023-1-4,1551
560,59,13,5,2023-8-20,2030
561,77,28,1,2023-12-26,1332
562,87,42,5,2023-4-16,902
563,1,45,3,2023-1-22,2296
564,38,29,5,2023-9-10,735
565,40,18,3,2023-2-25,2436
566,74,50,4,2023-8-23,1141
567,31,3,1,2023-2-11,267
568,77,34,5,2023-11-4,1933
569,75,15,3,2023-12-17,2123
570,18,48,2,2023-11-28,1608
571,49,19,2,2023-5-21,463
572,93,30,1,2023-9-1,716
573,72,21,1,2023-1-10,1681
574,13,8,1,2023-5-16,1146
575,80,15,3,2023-3-25,486
576,57,23,1,2023-12-7,111
577,7,5,1,2023-5-9,1813
578,65,6,2,2023-1-24,206
579,77,9,2,2023-1-18,622
580,45,49,5,2023-10-7,886
581,37,43,4,2023-4-25,1917
582,38,15,2,2023-6-3,1696
583,41,42,3,2023-9-2,610
584,38,7,5,2023-2-25,229
585,20,13,1,2023-8-15,1193
586,96,36,5,2023-4-12,190
587,92,6,4,2023-6-23,1612
588,68,38,5,2023-8-10,2376
589,96,42,2,2023-1-18,1623
590,36,47,3,2023-12-11,1230
591,27,12,5,2023-11-13,1430
592,59,26,3,2023-6-10,2338
593,47,50,3,2023-10-23,2485
594,13,34,2,2023-2-22,710
595,69,17,3,2023-8-1,1210
596,98,42,5,2023-8-23,1775
597,2,5,3,2023-1-24,1724
598,59,15,3,2023-11-15,2442
599,83,40,1,2023-8-5,441
600,55,36,2,2023-5-28,2247
601,47,31,3,2023-10-26,134
602,18,4,2,2023-9-27,806
603,34,9,5,2023-3-16,210
604,91,46,4,2023-5-26,226
605,82,9,4,2023-12-21,2413
606,12,30,2,2023-9-3,121
607,96,19,4,2023-9-18,1178
608,63,23,1,2023-6-10,984
609,96,24,5,2023-5-6,1793
610,76,2,1,2023-4-27,2318
611,18,11,1,2023-4-7,1559
612,66,5,5,2023-11-14,912
613,1,27,5,2023-12-3,1651
614,32,11,5,2023-6-22,300
615,25,37,5,2023-12-21,1048
616,93,31,3,2023-9-26,1303
617,71,42,2,2023-2-21,2435
618,73,40,1,2023-1-18,474
619,47,23,3,2023-8-13,120
620,64,30,1,2023-6-28,2250
621,34,38,4,2023-1-28,84
622,54,30,4,2023-2-21,579
623,90,11,5,2023-1-19,1126
624,33,28,4,2023-4-23,1739
625,47,21,1,2023-5-17,2078
626,86,4,1,2023-4-26,1689
627,50,4,4,2023-7-10,2093
628,94,40,5,2023-7-26,988
629,82,10,5,2023-7-1,729
630,82,27,5,2023-5-20,2288
631,72,23,1,2023-1-24,679
632,7,18,3,2023-10-19,1616
633,10,33,2,2023-10-4,932
634,97,4,3,2023-2-4,1544
635,7,49,1,2023-3-27,1361
636,2,10,3,2023-2-22,1084
637,89,42,2,2023-12-1,2212
638,1,22,4,2023-2-5,2154
639,97,48,3,2023-12-10,43
640,34,14,1,2023-11-16,1746
641,66,22,2,2023-1-25,741
642,91,13,5,2023-6-24,2416
643,62,41,4,2023-5-5,557
644,93,19,5,2023-2-18,1564
645,2,14,2,2023-8-24,518
646,74,34,4,2023-4-10,2086
647,31,45,1,2023-2-10,1301
648,5,8,1,2023-8-7,2309
649,92,46,4,2023-9-28,743
650,38,32,5,2023-12-7,220
651,64,15,1,2023-5-9,997
652,29,46,5,2023-5-3,427
653,3,38,3,2023-4-17,150
654,90,33,1,2023-10-26,1796
655,17,36,4,2023-8-15,1465
656,80,47,3,2023-9-15,128
657,71,33,1,2023-7-23,127
658,60,9,5,2023-12-13,77
659,6,16,2,2023-3-7,1557
660,82,8,3,2023-10-1,118
661,50,19,1,2023-3-24,586
662,99,27,1,2023-5-6,1584
663,90,18,3,2023-7-14,892
664,22,37,4,2023-12-8,1942
665,57,48,1,2023-9-21,1819
666,95,2,2,2023-11-8,1395
667,34,25,4,2023-1-9,1189
668,57,23,4,2023-12-17,1895
669,66,49,3,2023-5-24,894
670,59,18,4,2023-2-28,1529
671,88,17,2,2023-1-26,1276
672,71,38,3,2023-11-6,1541
673,100,47,2,2023-2-4,1192
674,22,26,1,2023-5-5,1374
675,39,29,2,2023-5-7,1730
676,41,40,4,2023-8-18,904
677,27,13,5,2023-7-3,554
678,80,38,3,2023-10-16,835
679,87,39,1,2023-3-17,2282
680,44,31,3,2023-7-21,2083
681,87,39,2,2023-10-22,118
682,45,26,5,2023-2-19,2257
683,32,8,5,2023-9-10,2031
684,64,46,3,2023-1-11,540
685,6,1,3,2023-10-13,2498
686,100,33,3,2023-1-25,322
687,88,8,2,2023-4-7,818
688,11,42,5,2023-10-23,691
689,33,24,5,2023-5-1,376
690,55,41,3,2023-9-12,176
691,21,48,4,2023-12-12,216
692,36,10,4,2023-6-19,752
693,46,33,1,2023-6-16,2255
694,42,2,4,2023-6-4,686
695,88,33,5,2023-5-25,265
696,87,17,1,2023-4-11,2109
697,49,6,2,2023-12-13,1570
698,24,24,5,2023-8-24,723
699,19,15,4,2023-2-27,2024
700,11,38,1,2023-7-2,534
701,9,16,5,2023-5-6,1065
702,24,20,1,2023-10-15,1994
703,8,17,5,2023-5-23,1823
704,93,16,4,2023-3-19,2123
705,77,48,4,2023-4-4,2034
706,7,32,3,2023-12-12,1861
707,90,24,4,2023-10-22,1198
708,9,26,4,2023-6-4,891
709,20,3,2,2023-2-12,1129
710,16,11,2,2023-6-3,2080
711,21,12,2,2023-7-4,2114
712,35,4,1,2023-12-10,493
713,52,27,5,2023-2-18,459
714,86,5,5,2023-11-7,2453
715,51,48,5,2023-6-12,2236
716,60,45,2,2023-1-15,754
717,75,4,2,2023-6-24,772
718,95,47,1,2023-10-3,2124
719,23,4,2,2023-6-22,20
720,73,6,5,2023-9-25,515
721,32,27,1,2023-1-5,177
722,52,4,5,2023-10-7,691
723,27,29,4,2023-7-16,753
724,53,42,5,2023-11-1,1493
725,16,35,1,2023-7-17,2158
726,19,12,5,2023-9-1,586
727,16,32,5,2023-2-23,724
728,8,4,3,2023-2-28,1876
729,47,8,5,2023-7-24,571
730,18,42,4,2023-12-26,511
731,74,29,5,2023-3-17,2374
732,48,17,4,2023-7-6,1636
733,83,1,1,2023-1-27,812
734,7,44,2,2023-5-25,296
735,11,12,1,2023-7-27,642
736,41,3,5,2023-4-23,842
737,18,15,4,2023-5-25,758
738,40,41,4,2023-4-16,501
739,72,40,1,2023-7-17,13
740,59,23,5,2023-5-2,1835
741,45,12,3,2023-12-26,2087
742,43,39,3,2023-8-17,544
743,17,24,3,2023-7-11,148
744,83,17,5,2023-12-20,346
745,100,9,1,2023-5-19,291
746,24,29,5,2023-6-22,259
747,5,45,4,2023-4-20,742
748,42,22,4,2023-2-27,1585
749,36,39,3,2023-8-27,2149
750,28,39,4,2023-4-17,1811
751,31,3,4,2023-7-21,2016
752,30,35,3,2023-3-24,1362
753,72,30,5,2023-8-3,1279
754,92,38,5,2023-11-5,50
755,16,11,3,2023-7-3,1502
756,91,29,3,2023-6-25,1847
757,48,48,2,2023-2-4,1588
758,67,30,2,2023-1-3,1838
759,18,16,5,2023-12-25,2365
760,54,37,1,2023-1-10,956
761,72,19,3,2023-12-19,1699
762,60,5,1,2023-5-12,1755
763,9,34,5,2023-9-12,1740
764,12,49,1,2023-8-28,1782
765,10,10,2,2023-8-28,2037
766,60,46,2,2023-9-4,1550
767,28,33,4,2023-12-16,448
768,28,34,4,2023-3-20,2119
769,10,15,1,2023-5-13,532
770,90,12,2,2023-1-5,1552
771,19,41,5,2023-6-24,548
772,22,29,4,2023-7-22,163
773,14,23,4,2023-7-3,1536
774,66,50,5,2023-7-23,1711
775,29,49,5,2023-6-7,1081
776,83,14,5,2023-5-28,304
777,59,21,4,2023-11-24,645
778,30,50,2,2023-9-11,610
779,19,14,1,2023-4-16,906
780,60,8,3,2023-8-27,497
781,14,24,2,2023-12-6,45
782,86,26,2,2023-2-10,666
783,36,37,2,2023-6-11,1994
784,1,36,4,2023-4-20,641
785,46,7,1,2023-7-14,686
786,71,3,1,2023-2-28,1540
787,99,32,2,2023-11-11,1455
788,63,42,3,2023-7-28,2181
789,9,46,3,2023-7-5,794
790,82,2,2,2023-12-28,1683
791,79,15,3,2023-10-22,2176
